"nautical"|"port_destination"|"port_origin"|"code_origin"|"code_destination"|"lat_origin"|"long_origin"|"lat_dest"|"long_dest"|"name_origin"|"name_dest"
110|"55596cb8-7e4e-4b06-b557-bee57775e70a"|bb5c997e-f3ac-4b41-92d1-23458aa5c1f1|"922"|"921"|-2.53739|"121.974"|-5.45506|"122.61"|Kendari|Bau-Bau/Murhum
393|"9c1e061d-9b9f-404d-a4cc-c98db3337a64"|"55596cb8-7e4e-4b06-b557-bee57775e70a"|"921"|"951"|-5.45506|"122.61"|-3.27|"127.09"|Bau-Bau/Murhum|Namlea
330|"3d5dc79e-61ff-4837-a180-d4f58ec35320"|"55596cb8-7e4e-4b06-b557-bee57775e70a"|"921"|"908"|-5.45506|"122.61"|-1.58885|"123.495"|Bau-Bau/Murhum|Banggai
86|"51eb8d94-2e63-49d4-b6ca-34d95a97f4af"|"55596cb8-7e4e-4b06-b557-bee57775e70a"|"921"|"923"|-5.45506|"122.61"|-5.3356404|"123.53382"|Bau-Bau/Murhum|Wanci
41|fae05bc9-d823-45fe-8307-0dc9c6484af3|"55596cb8-7e4e-4b06-b557-bee57775e70a"|"921"|"924"|-5.45506|"122.61"|-4.837368|"122.73694"|Bau-Bau/Murhum|Raha
97|"2dccb6d0-1b99-4e5a-a551-0db66b8c34d1"|"55c79ac1-55fa-4726-b3f8-f3264fbb674d"|"683"|"688"|-8.61983|"122.219"|-8.3702|"123.405"|Maumere /Laurentius Say|Lewoleba
95|c069f8c4-4a93-4021-9a75-c9aadb3b4a1c|"13ae6ff9-3a38-42f4-bf51-ac03c0492d30"|"952"|"947"|-3.328629|"128.91756"|-4.5285697|"129.88885"|Amahai|Banda Naira
300|fffec38d-bd22-4058-bb40-00993fa56f62|c069f8c4-4a93-4021-9a75-c9aadb3b4a1c|"947"|"950"|-4.5285697|"129.88885"|-7.98306|"131.292"|Banda Naira|Saumlaki
80|"395f3f65-4df6-4716-af13-2d5f0e02bdd7"|"5463607b-dcab-4475-be30-e3a91d051e95"|"697"|"696"|None|None|-10.605|"123.232"|Seba, Sabu|Baa, Rote
212|"6c52555f-7600-41ee-8a2a-9927a743c8b5"|"123da461-dbcb-4de3-9a2a-3575379a4d14"|"159"|"191"|"1.734"|"98.7771"|-0.965725|"100.353"|Sibolga|Teluk Bayur
